match_id,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_type,radiant_win,region,team2_ban1,team1_ban1,team1_ban2,team2_ban2,team1_ban3,team1_ban4,team2_ban3,team2_hero1,team1_hero1,team2_ban4,team2_ban5,team1_ban5,team1_hero2,team2_hero2,team2_hero3,team1_hero3,team1_hero4,team2_hero4,team2_ban6,team1_ban6,team1_ban7,team2_ban7,team2_hero5,team1_hero5,team1_id,team1_rating,team1_wins,team1_losses,team1_last_match_time,team2_id,team2_rating,team2_wins,team2_losses,team2_last_match_time,team1_player1_id,team1_player1_gamesPlayed,team1_player1_wins,team1_player2_id,team1_player2_gamesPlayed,team1_player2_wins,team1_player3_id,team1_player3_gamesPlayed,team1_player3_wins,team1_player4_id,team1_player4_gamesPlayed,team1_player4_wins,team1_player5_id,team1_player5_gamesPlayed,team1_player5_wins,team2_player1_id,team2_player1_gamesPlayed,team2_player1_wins,team2_player2_id,team2_player2_gamesPlayed,team2_player2_wins,team2_player3_id,team2_player3_gamesPlayed,team2_player3_wins,team2_player4_id,team2_player4_gamesPlayed,team2_player4_wins,team2_player5_id,team2_player5_gamesPlayed,team2_player5_wins,team1_hero1_gamesPlayed,team1_hero1_wins,team1_hero2_gamesPlayed,team1_hero2_wins,team1_hero3_gamesPlayed,team1_hero3_wins,team1_hero4_gamesPlayed,team1_hero4_wins,team1_hero5_gamesPlayed,team1_hero5_wins,team2_hero1_gamesPlayed,team2_hero1_wins,team2_hero2_gamesPlayed,team2_hero2_wins,team2_hero3_gamesPlayed,team2_hero3_wins,team2_hero4_gamesPlayed,team2_hero4_wins,team2_hero5_gamesPlayed,team2_hero5_wins
7661061658,1711737025,9389538,Dominion,9360721,KIBA ARMS,15901,Ultras Dota Pro League  2023-24,1,TRUE,8,66,78,45,91,21,20,51,19,98,103,105,11,90,17,123,88,81,70,57,96,23,33,49,36,9389538,1021.73,2,1,1711739948,9360721,1021.36,21,13,1711810115,1674303945,2,2,1149355168,3,2,1674492970,3,2,1697795766,3,2,1609348128,2,1,1029972951,34,21,189817721,19,11,1675297152,2,1,1146548664,30,20,1604426370,4,2,2,2,1,1,1,1,1,1,1,1,8,5,4,2,10,5,1,0,2,1
7661047871,1711736470,9374214,dungeon masters,,,16251,Party To Play league,0,FALSE,8,102,135,96,15,112,136,105,62,19,45,89,113,111,18,23,7,61,98,93,76,59,41,14,21,9374214,1007.14,3,3,1711645465,,,,,,1428686588,8,3,1281507501,2,0,92131659,3,1,123714554,3,0,1659329822,4,1,55700655,,,1674406529,,,1179594024,,,862966435,,,172715549,,,3,1,2,1,1,0,1,0,4,0,,,,,,,,,,
7660964485,1711733383,9368468,Rest Farmers,9303665,NextUp,16343,RES - Regional Series EU #1,1,TRUE,3,98,49,52,129,23,13,66,87,79,78,41,54,96,97,105,86,120,126,94,114,93,95,18,73,9368468,1079.89,16,18,1711737342,9303665,933.184,12,29,1711737342,164962869,37,18,401902808,2,1,18180970,37,18,117015167,37,18,50580004,37,18,293731272,42,12,383361785,27,7,140251702,42,12,199666759,27,7,107023378,8,1,4,3,3,2,4,2,2,2,4,2,1,0,2,0,10,2,7,1,4,1
7660960370,1711733071,,,,,16251,Party To Play league,0,TRUE,8,14,86,100,112,73,107,21,45,68,1,41,15,26,88,11,81,135,36,19,106,17,13,34,113,,,,,,,,,,,172715549,,,1428686588,,,1674406529,,,1281507501,,,1659329822,,,121148866,,,55700655,,,92131659,,,123714554,,,1179594024,,,,,,,,,,,,,,,,,,,,,,
7660955908,1711732905,9303383,L1GA TEAM,9017006,NAVI Junior,16527,Portal Dota2 World Invitationals,1,TRUE,3,23,82,66,78,87,19,69,98,52,96,5,79,45,111,109,21,51,90,29,61,38,129,107,17,9303383,1246.65,32,33,1711809029,9017006,1066.63,75,99,1711732905,125445069,7,5,439345730,48,26,93526520,48,26,181267255,48,26,108958769,43,25,957204049,186,86,185590374,123,60,835864135,186,86,919735867,181,84,130991304,186,86,6,4,8,5,14,7,3,2,3,2,16,8,7,2,10,3,14,8,5,2
7660947918,1711732726,9360721,KIBA ARMS,9389538,Dominion,15901,Ultras Dota Pro League  2023-24,1,TRUE,8,123,66,51,78,91,98,79,21,19,20,54,96,87,103,136,69,48,56,17,47,25,11,106,7,9360721,1021.36,21,13,1711810115,9389538,1021.73,2,1,1711739948,1029972951,34,21,189817721,19,11,1146548664,30,20,355782716,27,16,1675297152,2,1,1149355168,3,2,1674492970,3,2,1609348128,2,1,1697795766,3,2,316461744,1,0,8,5,6,4,5,3,1,1,3,2,1,0,1,0,2,1,1,0,1,0
7660905156,1711731107,9088071,EYE Gaming,9381131,Uzumaki,15901,Ultras Dota Pro League  2023-24,1,FALSE,3,21,123,20,58,66,98,62,105,91,136,137,48,78,30,23,64,22,72,93,10,106,15,126,52,9088071,770.933,339,730,1711811105,9381131,1111.95,46,22,1711753016,1166370091,2,0,1674266188,253,82,1676142599,33,4,1699370011,16,4,130433320,1068,340,117267178,36,28,1695617010,6,6,323131650,55,36,1691312598,52,37,1695786688,36,21,58,17,42,21,50,17,25,4,32,11,12,7,1,1,5,3,3,3,4,2
7660879859,1711730087,,,,,16251,Party To Play league,0,FALSE,8,102,107,88,45,21,129,105,100,15,20,23,10,51,112,26,14,74,63,1,13,25,93,17,44,,,,,,,,,,,92131659,,,1281507501,,,123714554,,,1179594024,,,1147253282,,,55700655,,,1654575171,,,121148866,,,1659329822,,,172715549,,,,,,,,,,,,,,,,,,,,,,
7660866395,1711729605,2576071,Yellow Submarine,8406842,GRIN Esports,16343,RES - Regional Series EU #1,1,TRUE,3,66,79,72,98,87,93,23,109,49,137,105,18,58,86,129,123,41,22,17,45,46,120,61,90,2576071,1243.58,70,57,1711729605,8406842,1042.8,38,55,1711729605,152285172,85,45,5150808,7,3,1044002267,99,48,847565596,91,42,1675898897,39,23,113619848,22,11,230580807,32,16,276096844,20,9,1133388674,32,16,84429681,20,9,6,4,16,11,14,8,17,11,4,1,11,3,19,9,9,5,5,3,1,0
7660811261,1711728102,9303383,L1GA TEAM,9017006,NAVI Junior,16527,Portal Dota2 World Invitationals,1,TRUE,3,23,66,87,78,82,19,69,98,5,96,52,54,72,14,65,28,26,31,76,90,49,13,15,25,9303383,1246.65,32,33,1711809029,9017006,1066.63,75,99,1711732905,125445069,7,5,439345730,48,26,93526520,48,26,181267255,48,26,108958769,43,25,957204049,186,86,185590374,123,60,835864135,186,86,919735867,181,84,130991304,186,86,14,8,4,2,1,1,7,3,4,2,16,8,18,13,20,11,12,8,3,0
